Commodity name,Units,"March
2017",Feb 2018,"March
2018","% Change
over a
month ago","% Change
over a
Year ago"
Onions,1 Kg,1 18.78,1 47.49,1 67.58,13.62,41.08
Kale-Sukuma Wiki,1 Kg,58.09,53.06,56.10,5.72,16.60
Potatoes (Irish),1 Kg,98.42,60.07,61.49,3.11,-17.46
Tomatoes,1 Kg,91.01,98.82,1 01.16,2.36,1.46
Mangoes,1 Kg,1 18.06,95.45,98.11,2.79,-16.89
Carrots,1 Kg,78.18,56.97,58.91,3.41,-24.65
Cabbages,1 Kg,77.81,40.97,41.63,1.61,-32.32
Sugar,1 Kg,1 32.82,1 31.02,1 31.19,0.13,-5.75
Maize Grain - Loose,1 Kg,51.78,61.75,61.51,-0.39,18.80
Maize Flour - Sifted,2 Kg,1 32.36,125.03,1 24.51,-0.41,9.91
Wheat Flour,2 Kg,1 25.85,1 25.03,1 23.67,-1.09,4.18
Milk - Fresh Unpacketed,1000 ml,58.64,61.49,61.17,-0.51,4.32
Charcoal,4 Kg,79.81,84.49,1 07.36,27.07,34.52
Electricity,50 Kw/h,5 69.61,6 82.21,7 30.93,7.14,28.32
Electricity,200 Kw/h,"3,616.82","4,067.22","4,262.10",4.79,17.84
Rent,1 Room,"4,099.63","4,291.93","4,298.98",0.16,4.86
Gas -(LPG),13 Kg,"1,998.70","2,150.20","2,169.19",0.88,8.53
Kerosene,1 litre,68.93,77.71,78.41,0.90,13.76
Diesel,1 litre,91.39,97.92,98.82,0.92,8.13
Petrol,1 litre,1 01.91,1 08.79,1 08.33,-0.42,6.30
